GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,ms_rtc,ms_simulation,ms_init,ms_exit,ms_step_mean
TITAN V,1,0,circles_spatial3D,100,79507,43.000,2.000,2,1.000,189.229,0.002,273.518,0.002,0.038,2.727
TITAN V,1,0,circles_spatial3D_rtc,100,79507,43.000,2.000,0,1.000,188.840,7.734,146.600,0.002,0.031,1.458
TITAN V,1,0,circles_spatial3D_rtc,100,79507,43.000,2.000,1,1.000,189.416,7.689,147.736,0.002,0.031,1.469
TITAN V,1,0,circles_spatial3D_rtc,100,79507,43.000,2.000,2,1.000,189.229,7.707,146.495,0.002,0.031,1.457
TITAN V,1,0,circles_spatial3D,100,159014,43.000,2.000,0,2.000,376.556,0.002,811.397,0.002,0.034,8.106
TITAN V,1,0,circles_spatial3D,100,159014,43.000,2.000,1,2.000,376.664,0.003,809.667,0.002,0.038,8.089
TITAN V,1,0,circles_spatial3D,100,159014,43.000,2.000,2,2.000,377.161,0.003,811.789,0.002,0.034,8.110
TITAN V,1,0,circles_spatial3D_rtc,100,159014,43.000,2.000,0,2.000,376.556,7.850,508.543,0.002,0.033,5.077
TITAN V,1,0,circles_spatial3D_rtc,100,159014,43.000,2.000,1,2.000,376.664,7.877,507.886,0.002,0.032,5.071
TITAN V,1,0,circles_spatial3D_rtc,100,159014,43.000,2.000,2,2.000,377.161,7.799,508.583,0.002,0.033,5.078
TITAN V,1,0,circles_spatial3D,100,238521,43.000,2.000,0,3.000,564.527,0.003,1638.265,0.002,0.036,16.375
TITAN V,1,0,circles_spatial3D,100,238521,43.000,2.000,1,3.000,564.282,0.003,1648.984,0.002,0.037,16.482
TITAN V,1,0,circles_spatial3D,100,238521,43.000,2.000,2,3.000,565.537,0.003,1656.949,0.002,0.037,16.561
TITAN V,1,0,circles_spatial3D_rtc,100,238521,43.000,2.000,0,3.000,564.527,7.947,1103.869,0.002,0.037,11.030
TITAN V,1,0,circles_spatial3D_rtc,100,238521,43.000,2.000,1,3.000,564.282,7.918,1105.547,0.002,0.042,11.047
TITAN V,1,0,circles_spatial3D_rtc,100,238521,43.000,2.000,2,3.000,565.537,7.975,1106.470,0.002,0.040,11.056
TITAN V,1,0,circles_spatial3D,100,318028,43.000,2.000,0,4.000,752.755,0.003,2974.893,0.002,0.079,29.740
TITAN V,1,0,circles_spatial3D,100,318028,43.000,2.000,1,4.000,752.216,0.003,2977.483,0.002,0.045,29.767
TITAN V,1,0,circles_spatial3D,100,318028,43.000,2.000,2,4.000,753.549,0.003,2976.571,0.002,0.048,29.757
TITAN V,1,0,circles_spatial3D_rtc,100,318028,43.000,2.000,0,4.000,752.755,8.260,1961.411,0.002,0.048,19.606
TITAN V,1,0,circles_spatial3D_rtc,100,318028,43.000,2.000,1,4.000,752.216,8.047,1955.455,0.002,0.045,19.546
TITAN V,1,0,circles_spatial3D_rtc,100,318028,43.000,2.000,2,4.000,753.549,8.023,1959.257,0.002,0.045,19.584
TITAN V,1,0,circles_spatial3D,100,91125,45.000,2.000,0,1.000,190.143,0.003,287.763,0.002,0.038,2.870
TITAN V,1,0,circles_spatial3D,100,91125,45.000,2.000,1,1.000,190.130,0.003,287.633,0.002,0.038,2.868
TITAN V,1,0,circles_spatial3D,100,91125,45.000,2.000,2,1.000,190.560,0.003,289.039,0.002,0.039,2.882
TITAN V,1,0,circles_spatial3D_rtc,100,91125,45.000,2.000,0,1.000,190.143,7.676,151.631,0.002,0.031,1.508
TITAN V,1,0,circles_spatial3D_rtc,100,91125,45.000,2.000,1,1.000,190.130,7.707,151.048,0.002,0.032,1.503
